app_id,app_name,duration,status,spark.broadcast.blockSize,spark.broadcast.compress,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.io.compression.codec,spark.locality.wait,spark.memory.fraction,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.join.preferSortMergeJoin,spark.sql.shuffle.partitions,spark.storage.memoryMapThreshold
application_1688294179913_23863,13d#100#1689481620838_0#IMDB,11453,True,4,1,99,6,10752,4,7,6400,2432,1,4600,0.6,3776,0.74,1,88,82,10752,5000,1,92,6
application_1688294179913_23864,15c#100#1689481620753_2#IMDB,8249,True,10,0,95,6,11008,5,5,11264,4032,1,4400,0.55,2368,0.63,1,136,52,14080,18000,1,75,4
application_1688294179913_23865,20c#100#1689481621006_2#IMDB,11228,True,2,0,59,5,9152,7,3,11328,448,0,5200,0.61,2176,0.68,0,144,32,14080,9800,0,72,6
application_1688294179913_23866,10c#100#1689481620802_6#IMDB,10588,True,16,0,80,3,10496,6,4,11904,3840,0,1200,0.58,768,0.51,0,80,36,13824,19200,0,87,8
application_1688294179913_23867,14a#100#1689481621018_3#IMDB,10654,True,12,0,86,7,7168,5,5,5440,2880,1,1600,0.59,4096,0.66,0,140,42,12544,9000,0,105,3
application_1688294179913_23868,33a#100#1689481620246_1#IMDB,10246,True,5,1,103,7,5184,5,5,12224,512,1,3800,0.67,2560,0.48,1,100,40,10752,5600,1,69,6
application_1688294179913_23869,22a#100#1689481621078_5#IMDB,10095,True,16,1,84,7,6208,4,5,6976,1024,0,5800,0.38,2944,0.62,0,32,40,8960,8600,1,75,3
application_1688294179913_23870,30b#100#1689481620631_6#IMDB,10437,True,3,1,101,8,10944,7,4,9152,3520,0,4200,0.68,3264,0.78,1,100,36,15104,10000,1,129,2
application_1688294179913_23871,10c#100#1689481621012_4#IMDB,7299,True,2,1,83,6,9280,5,4,8384,1984,1,2200,0.61,512,0.75,0,108,92,8960,18800,0,64,4
application_1688294179913_23872,21c#100#1689481620184_1#IMDB,9598,True,14,0,167,6,9984,6,7,8128,2432,1,3200,0.45,2368,0.53,1,96,68,8960,5000,1,189,10
application_1688294179913_23873,23c#100#1689481620575_5#IMDB,7617,True,12,0,108,6,4416,4,7,6080,2048,0,1600,0.66,3392,0.45,1,64,70,13568,19400,1,116,7
application_1688294179913_23874,28a#100#1689481620672_3#IMDB,11834,True,7,0,96,5,8576,6,7,4672,960,0,2000,0.84,768,0.81,0,140,22,12032,18200,1,162,6
application_1688294179913_23875,17f#100#1689481620418_1#IMDB,19374,True,5,1,146,5,6400,7,6,6784,3328,1,3200,0.63,256,0.78,1,84,56,11520,7200,1,104,3
application_1688294179913_23876,6f#100#1689481620695_1#IMDB,12013,True,7,0,106,5,8512,4,7,6784,3328,0,5600,0.79,3456,0.7,1,44,70,10752,15400,0,68,3
application_1688294179913_23877,13c#100#1689481620865_2#IMDB,8397,True,6,1,57,3,8960,6,4,8384,1664,1,5200,0.42,3456,0.56,0,32,42,12032,16000,1,73,3
application_1688294179913_23878,10a#100#1689481620521_5#IMDB,8119,True,8,1,117,7,12032,6,5,5120,832,0,4200,0.57,2240,0.79,1,112,68,8192,5600,0,89,5
application_1688294179913_23879,7b#100#1689481620891_1#IMDB,9895,True,7,0,107,7,8256,5,4,10560,3392,0,4800,0.78,448,0.37,1,68,72,12800,19000,0,97,2
application_1688294179913_23880,6d#100#1689481620508_3#IMDB,9319,True,9,1,175,3,10496,7,6,6912,2624,1,4600,0.37,3328,0.42,0,68,20,14080,12000,0,145,7
application_1688294179913_23881,4a#100#1689481620212_6#IMDB,6953,True,11,0,133,7,9856,7,5,11456,2560,0,1400,0.54,1024,0.72,1,60,96,8448,17200,0,136,5
application_1688294179913_23882,27b#100#1689481620176_2#IMDB,8099,True,16,1,171,6,6464,6,7,4480,1216,0,1200,0.7,2816,0.46,0,124,52,15360,9600,0,115,9
application_1688294179913_23883,13a#100#1689481620813_3#IMDB,10564,True,7,1,72,7,7936,6,3,11840,3904,0,4000,0.66,3008,0.63,0,120,16,8704,11600,0,61,5
application_1688294179913_23884,2c#100#1689481620354_0#IMDB,6060,True,6,0,83,2,12224,4,8,6272,3648,1,3600,0.4,1216,0.45,1,64,76,12288,18200,1,109,5
application_1688294179913_23885,25c#100#1689481620219_6#IMDB,11897,True,14,1,114,7,7296,4,6,7744,3200,0,1200,0.81,3776,0.54,0,80,64,14848,18200,1,96,3
application_1688294179913_23886,11b#100#1689481620621_2#IMDB,5874,True,9,1,113,3,9920,4,7,7296,1600,1,3800,0.44,2944,0.64,1,104,18,9472,19400,0,124,8
application_1688294179913_23887,13d#100#1689481620831_1#IMDB,11808,True,7,0,148,4,9024,6,6,6400,1216,0,5400,0.51,3968,0.41,1,52,92,14336,13400,1,112,6
application_1688294179913_23888,7a#100#1689481620268_3#IMDB,8902,True,10,0,114,3,4288,5,6,9792,3904,1,5000,0.7,2816,0.43,0,60,26,11776,7000,0,112,10
application_1688294179913_23889,16d#100#1689481620206_0#IMDB,16519,True,3,1,86,2,5376,5,5,7552,2368,0,3800,0.51,1408,0.38,1,40,24,14848,19000,0,107,8
application_1688294179913_23890,4a#100#1689481620425_0#IMDB,7721,True,8,0,154,7,9856,7,5,7360,2752,1,2200,0.68,320,0.63,1,104,22,15360,15800,1,108,1
application_1688294179913_23891,28b#100#1689481620527_3#IMDB,8639,True,11,1,119,4,10240,5,8,6016,1792,1,4400,0.52,3392,0.59,0,136,96,13312,17800,1,143,1
application_1688294179913_23892,33b#100#1689481620718_5#IMDB,13628,True,3,0,106,7,12224,5,7,4480,2944,1,4000,0.35,4032,0.48,0,40,46,14848,12600,1,101,8
application_1688294179913_23893,6d#100#1689481620863_6#IMDB,9907,True,2,0,124,7,11264,7,4,6592,3840,0,3600,0.37,4032,0.7,0,100,52,16128,8000,1,129,3
application_1688294179913_23894,21a#100#1689481620327_2#IMDB,8175,True,10,1,93,7,9728,6,5,10880,1216,1,2000,0.77,1856,0.5,0,80,32,9984,17800,1,132,5
application_1688294179913_23895,22b#100#1689481620389_5#IMDB,12029,True,3,0,94,4,9472,5,4,8704,3072,0,2200,0.83,3072,0.58,1,80,40,16384,12000,0,55,6
application_1688294179913_23896,31c#100#1689481620403_2#IMDB,13083,True,15,1,97,5,5312,5,7,8960,2048,0,2400,0.49,2496,0.63,1,80,80,13056,18800,0,108,9
application_1688294179913_23897,5c#100#1689481620454_6#IMDB,7357,True,3,1,111,4,10112,6,7,5376,1600,1,3800,0.57,1664,0.55,0,80,92,15360,19400,1,106,6
application_1688294179913_23898,4a#100#1689481620372_0#IMDB,7648,True,12,0,58,8,7488,3,7,4352,384,1,1000,0.45,1728,0.43,1,80,18,8192,16200,1,84,4
application_1688294179913_23899,23b#100#1689481620572_3#IMDB,7187,True,9,1,135,6,6272,6,5,8000,832,0,1800,0.72,576,0.6,1,92,36,9216,11400,1,96,6
application_1688294179913_23900,26c#100#1689481620333_6#IMDB,13235,True,3,1,84,3,12160,7,5,11520,3008,1,4000,0.64,832,0.81,0,68,68,10240,17200,0,121,4
application_1688294179913_23901,16c#100#1689481620431_1#IMDB,22618,True,11,0,114,4,5440,8,5,9856,1664,1,5000,0.42,1280,0.52,1,52,48,15616,11800,1,122,3
application_1688294179913_23902,21c#100#1689481620666_6#IMDB,8912,True,8,1,105,5,8000,7,6,8064,3648,0,2400,0.38,2560,0.59,1,28,88,14080,5200,0,127,5
application_1688294179913_23903,11d#100#1689481620629_5#IMDB,8691,True,14,0,116,4,8896,5,8,4352,2624,0,3800,0.55,3264,0.44,0,24,28,11008,10000,0,161,8
application_1688294179913_23904,32a#100#1689481620276_1#IMDB,5886,True,12,1,90,4,8384,5,5,10432,1408,0,4400,0.45,256,0.5,1,28,92,12544,11400,1,64,9
application_1688294179913_23905,14c#100#1689481620768_3#IMDB,10693,True,5,0,108,4,6976,6,4,9600,576,1,3200,0.5,3072,0.63,1,116,58,8704,14000,1,58,5
application_1688294179913_23906,28a#100#1689481620433_0#IMDB,12223,True,5,0,114,7,8576,5,8,4160,384,1,3800,0.8,3776,0.72,1,60,60,9216,17800,0,171,7
application_1688294179913_23907,11d#100#1689481620752_2#IMDB,8462,True,7,1,74,4,9792,5,6,8576,3008,1,5400,0.49,2304,0.44,0,104,60,10496,12000,0,113,9
application_1688294179913_23908,22a#100#1689481620624_6#IMDB,9893,True,6,1,122,3,9344,5,6,8576,2944,1,3600,0.68,1152,0.59,0,60,24,9984,18000,0,126,6
application_1688294179913_23909,32b#100#1689481620871_1#IMDB,7838,True,14,0,100,8,11584,8,3,12224,832,1,2600,0.68,448,0.57,1,136,20,15616,9600,1,79,9
application_1688294179913_23910,30b#100#1689481620610_2#IMDB,11728,True,5,0,76,3,5248,3,7,5440,768,1,5000,0.78,2432,0.43,1,48,60,15616,12600,0,79,7
application_1688294179913_23911,32b#100#1689481620437_3#IMDB,7299,True,1,1,158,6,6976,7,6,8320,1408,1,2600,0.39,3648,0.8,1,64,56,9728,10000,1,129,9
application_1688294179913_23912,5a#100#1689481621013_6#IMDB,6275,True,15,1,143,5,6016,7,5,9920,1536,0,6000,0.64,2816,0.72,1,140,82,13056,15600,1,102,2
application_1688294179913_23913,16b#100#1689481620980_5#IMDB,19151,True,3,1,160,5,4736,7,6,10432,1088,0,3200,0.56,2240,0.56,0,124,56,10752,19800,0,132,8
application_1688294179913_23914,19a#100#1689481620812_4#IMDB,10509,True,9,1,70,5,5504,4,6,5824,768,0,2400,0.52,1280,0.59,0,60,52,8448,17000,0,98,3
application_1688294179913_23915,2d#100#1689481620329_4#IMDB,7352,True,8,1,132,6,9536,5,6,11264,1856,1,3200,0.41,768,0.66,0,28,80,15872,11800,0,141,6
application_1688294179913_23916,6f#100#1689481620498_2#IMDB,12160,True,6,1,129,2,6016,6,7,6016,576,0,3000,0.39,320,0.54,0,92,86,14848,15200,0,95,1
application_1688294179913_23917,15b#100#1689481620999_4#IMDB,7788,True,4,0,95,5,4352,8,4,10240,2816,1,1400,0.63,640,0.38,1,104,64,13568,15200,1,95,9
application_1688294179913_23918,9c#100#1689481620630_0#IMDB,9479,True,13,1,91,3,5952,6,6,9728,1344,0,3200,0.78,576,0.4,0,128,68,11264,12400,1,91,4
application_1688294179913_23919,31a#100#1689481620291_1#IMDB,11726,True,15,1,83,3,7488,3,8,6656,2752,1,5000,0.47,1024,0.83,1,84,38,13824,5800,1,104,8
application_1688294179913_23920,20c#100#1689481620296_2#IMDB,11637,True,13,0,117,6,4352,7,4,10816,3392,1,5400,0.41,2752,0.72,1,104,84,9984,13800,1,112,9
application_1688294179913_23921,27a#100#1689481620561_5#IMDB,7846,True,5,1,138,6,7040,7,6,9664,1664,0,4200,0.36,3072,0.39,0,124,72,9984,10600,0,128,1
application_1688294179913_23922,2d#100#1689481620167_5#IMDB,7791,True,10,0,72,7,10944,6,3,10752,384,1,2400,0.69,1152,0.54,1,108,68,10752,11600,1,56,3
application_1688294179913_23923,9b#100#1689481620957_5#IMDB,10594,True,5,0,102,6,10048,7,4,11968,3200,1,2200,0.44,2240,0.61,0,32,26,16128,11000,1,95,9
application_1688294179913_23924,25c#100#1689481620654_5#IMDB,12267,True,12,1,164,8,8320,6,6,8832,2752,1,5400,0.59,2880,0.56,1,68,78,14592,11800,1,126,5
application_1688294179913_23925,27a#100#1689481620637_3#IMDB,9017,True,2,1,67,6,11584,6,3,9856,1280,0,4200,0.73,1088,0.65,1,36,64,15616,13600,0,67,8
application_1688294179913_23926,22b#100#1689481620488_2#IMDB,9962,True,13,1,130,8,12032,5,5,6912,3712,1,1400,0.62,384,0.51,1,92,64,14848,10000,1,127,7
application_1688294179913_23927,4a#100#1689481620662_4#IMDB,7805,True,5,0,108,7,9408,7,4,9472,704,1,1800,0.57,384,0.43,1,92,64,14848,17600,1,133,5
application_1688294179913_23928,24a#100#1689481620591_6#IMDB,11885,True,11,1,75,5,5952,7,4,12032,3712,0,2000,0.8,3584,0.42,1,40,80,8448,16400,0,113,3
application_1688294179913_23929,3a#100#1689481620737_5#IMDB,7388,True,14,0,127,8,5312,6,5,11072,3520,1,4000,0.57,2176,0.78,0,88,32,11264,18600,0,128,3
application_1688294179913_23930,24b#100#1689481620722_1#IMDB,11879,True,16,0,70,4,7872,5,5,8512,2752,1,4800,0.37,2496,0.72,1,100,32,13312,16800,0,115,3
application_1688294179913_23931,19a#100#1689481620478_1#IMDB,10807,True,1,0,97,7,11968,3,8,7232,512,0,2000,0.75,1280,0.79,0,108,76,15872,15400,1,97,4
application_1688294179913_23932,30c#100#1689481620596_6#IMDB,11231,True,11,1,118,6,10304,4,6,7232,1216,1,3400,0.49,1216,0.37,0,112,62,12032,6200,1,71,2
application_1688294179913_23933,29c#100#1689481621033_2#IMDB,13896,True,8,1,154,7,10304,7,5,8320,2688,0,2200,0.62,2624,0.5,0,144,56,9984,13000,0,145,5
application_1688294179913_23934,2c#100#1689481620822_0#IMDB,6058,True,13,1,77,4,8192,5,5,7616,3648,1,5400,0.44,1920,0.79,1,72,64,10240,7400,0,116,5
application_1688294179913_23935,29c#100#1689481620795_5#IMDB,12567,True,6,1,87,3,9728,6,6,6464,2624,0,1600,0.56,2560,0.4,0,40,88,10496,7800,0,84,1
application_1688294179913_23936,14c#100#1689481620510_4#IMDB,9777,True,2,1,122,7,6208,8,4,10944,1088,0,2600,0.72,1600,0.83,1,84,30,13056,6400,1,87,2
application_1688294179913_23937,17b#100#1689481620917_1#IMDB,14822,True,5,1,154,8,10112,7,5,7232,2240,0,4800,0.58,1280,0.48,1,116,44,11264,10800,1,148,7
application_1688294179913_23938,30a#100#1689481620932_2#IMDB,12484,True,2,0,62,3,9088,6,4,9920,704,0,1200,0.44,3008,0.51,1,48,84,8704,8600,0,82,6
application_1688294179913_23939,19d#100#1689481620786_5#IMDB,14307,True,2,1,112,8,5696,6,5,11328,2048,1,3000,0.71,1344,0.58,0,144,92,14592,15000,0,101,3
application_1688294179913_23940,17d#100#1689481620824_3#IMDB,15824,True,11,0,89,7,7360,3,6,4160,1408,0,2000,0.49,3072,0.66,0,144,76,12032,10800,0,94,2
application_1688294179913_23941,6c#100#1689481620525_0#IMDB,8031,True,3,1,105,8,9408,4,7,9216,3264,0,2400,0.79,1088,0.68,1,120,78,13824,15800,0,100,7
application_1688294179913_23942,19a#100#1689481621082_1#IMDB,11396,True,11,0,160,6,4736,7,6,8256,1792,0,3000,0.58,1984,0.42,0,108,84,13568,7000,0,183,1
application_1688294179913_23943,16d#100#1689481620157_1#IMDB,22915,True,4,1,52,7,10368,3,6,10688,832,1,5000,0.66,256,0.76,1,128,40,13056,9800,1,58,6
application_1688294179913_23944,6d#100#1689481620346_6#IMDB,10215,True,7,1,61,5,10240,4,5,6080,1664,0,5400,0.66,1536,0.52,0,36,22,12032,15200,0,82,5
application_1688294179913_23945,27c#100#1689481620830_0#IMDB,9048,True,4,0,56,3,10368,7,3,10048,832,0,5200,0.53,2752,0.51,0,64,72,8960,15600,0,75,10
application_1688294179913_23946,8a#100#1689481620974_2#IMDB,8498,True,13,1,110,2,11904,5,6,8000,3584,0,4400,0.48,1664,0.58,0,144,60,16128,16000,0,123,10
application_1688294179913_23947,32b#100#1689481620431_0#IMDB,7312,True,11,0,114,4,5440,8,5,9856,1664,1,5000,0.42,1280,0.52,1,52,48,15616,11800,1,122,3
application_1688294179913_23948,22a#100#1689481620323_0#IMDB,11170,True,16,1,130,6,5440,7,4,12160,3328,0,3800,0.68,4032,0.57,1,44,92,15360,6600,1,130,3
application_1688294179913_23949,13c#100#1689481620803_5#IMDB,8691,True,5,1,97,6,5888,4,5,10240,1024,1,2800,0.45,3776,0.4,0,76,32,12800,6400,1,77,3
application_1688294179913_23950,4b#100#1689481620418_4#IMDB,6830,True,5,1,146,5,6400,7,6,6784,3328,1,3200,0.63,256,0.78,1,84,56,11520,7200,1,104,3
application_1688294179913_23951,26a#100#1689481620890_3#IMDB,10702,True,1,0,58,5,7552,3,7,7488,2240,0,2800,0.42,768,0.58,0,96,20,14336,17600,1,60,2
application_1688294179913_23952,5b#100#1689481620837_0#IMDB,5583,True,16,0,63,6,11520,4,6,4416,832,0,1000,0.73,1728,0.85,0,72,24,9216,17400,1,89,5
application_1688294179913_23953,30b#100#1689481620513_5#IMDB,11636,True,6,0,88,7,4992,3,6,11392,2880,1,4800,0.8,768,0.61,0,140,54,16128,9000,1,98,5
application_1688294179913_23954,6a#100#1689481620703_3#IMDB,10987,True,5,0,160,5,11520,7,6,7360,1600,0,3200,0.65,3712,0.62,1,136,22,12544,17200,1,137,9
application_1688294179913_23955,20c#100#1689481620632_2#IMDB,11652,True,14,0,86,3,4224,5,7,10624,3328,1,1400,0.42,192,0.59,1,104,40,13568,7600,0,143,4
application_1688294179913_23956,15a#100#1689481620568_0#IMDB,7761,True,14,1,96,2,5568,7,5,9472,896,0,1200,0.39,2112,0.82,0,68,80,11520,17800,0,138,7
application_1688294179913_23957,6a#100#1689481620234_0#IMDB,10738,True,8,0,79,7,11456,3,6,9472,1344,1,2400,0.52,2688,0.41,1,112,36,10240,12800,0,74,9
application_1688294179913_23958,11d#100#1689481620526_1#IMDB,8628,True,3,0,124,6,10752,6,6,9216,2688,0,3400,0.73,3328,0.8,1,28,44,9984,7600,0,121,6
application_1688294179913_23959,18c#100#1689481620577_5#IMDB,11982,True,6,0,81,3,9472,5,5,11776,1024,0,2800,0.53,3584,0.79,1,40,44,11264,10400,0,95,4
application_1688294179913_23960,25b#100#1689481620764_1#IMDB,9506,True,11,1,144,6,5632,5,6,9152,3392,1,1200,0.52,1536,0.69,1,72,74,15872,13600,1,127,5
application_1688294179913_23961,19b#100#1689481620576_6#IMDB,9297,True,15,1,101,3,6656,4,6,8640,3840,1,4000,0.74,768,0.48,0,128,96,14592,15000,1,72,8
application_1688294179913_23962,17f#100#1689481620177_1#IMDB,15700,True,5,0,146,3,9664,8,5,10688,4032,1,4800,0.43,3776,0.68,1,44,84,10496,16000,1,156,5
application_1688294179913_23963,3a#100#1689481620616_2#IMDB,7419,True,13,0,79,3,11008,6,6,7936,2944,0,2000,0.56,64,0.84,0,32,72,14592,19000,1,143,1
application_1688294179913_23964,8d#100#1689481620342_3#IMDB,19346,True,4,1,58,4,4480,4,5,11392,1920,0,5000,0.45,3200,0.73,1,140,88,10240,6600,1,51,5
application_1688294179913_23965,20c#100#1689481620436_6#IMDB,10952,True,12,0,76,2,10368,5,7,4480,2368,0,4000,0.6,2752,0.59,0,104,28,13056,14800,0,118,4
application_1688294179913_23966,14b#100#1689481621006_5#IMDB,8206,True,2,0,59,5,9152,7,3,11328,448,0,5200,0.61,2176,0.68,0,144,32,14080,9800,0,72,6
application_1688294179913_23967,2d#100#1689481620439_1#IMDB,7310,True,9,1,156,3,7296,6,6,5184,3840,0,4400,0.67,2752,0.46,0,76,74,9216,8600,0,127,4
application_1688294179913_23968,6b#100#1689481620669_4#IMDB,8865,True,8,0,88,7,6848,6,6,7616,2880,0,4600,0.53,3328,0.46,0,96,28,8704,11000,0,148,3
application_1688294179913_23969,17b#100#1689481620734_1#IMDB,13366,True,8,1,119,4,5312,6,5,6528,3456,1,3800,0.83,2880,0.67,1,36,20,8960,15400,0,83,9
application_1688294179913_23970,14a#100#1689481620114_1#IMDB,10283,True,7,0,68,2,4736,4,6,6144,2752,1,1200,0.46,768,0.77,1,72,72,13824,12000,1,57,5
application_1688294179913_23971,20b#100#1689481620603_4#IMDB,8805,True,14,0,93,8,7168,6,5,5504,1984,1,3000,0.75,2688,0.77,1,88,92,14080,8400,0,98,2
application_1688294179913_23972,9c#100#1689481620396_3#IMDB,9843,True,10,1,92,3,10304,5,5,9728,1728,0,4200,0.64,128,0.66,1,108,40,8704,19600,1,101,7
application_1688294179913_23973,27c#100#1689481620116_2#IMDB,8995,True,12,0,126,7,4672,6,6,8832,4032,1,2600,0.83,128,0.46,1,36,40,11520,18000,0,103,6
application_1688294179913_23974,4b#100#1689481620690_4#IMDB,6678,True,8,0,111,4,7808,4,6,8320,2816,0,2200,0.75,1280,0.58,1,40,82,11520,9200,0,62,2
application_1688294179913_23975,26c#100#1689481620932_6#IMDB,13012,True,2,0,62,3,9088,6,4,9920,704,0,1200,0.44,3008,0.51,1,48,84,8704,8600,0,82,6
application_1688294179913_23976,4b#100#1689481620910_3#IMDB,6640,True,6,1,138,5,12288,8,4,8640,576,0,2400,0.55,3584,0.47,1,112,36,12544,16600,1,82,7
application_1688294179913_23977,31c#100#1689481620188_5#IMDB,15639,True,9,0,128,4,5504,6,7,5440,3008,1,2200,0.66,1536,0.74,0,80,40,11264,15600,0,105,9
application_1688294179913_23978,10a#100#1689481620505_0#IMDB,7877,True,7,0,75,7,9536,4,6,6016,1856,0,2600,0.46,3136,0.44,0,60,40,11008,8200,0,97,3
application_1688294179913_23979,1b#100#1689481620713_5#IMDB,7408,True,2,1,76,3,11200,8,3,9664,3776,1,4400,0.42,3968,0.41,0,128,80,11776,11600,1,86,10
application_1688294179913_23980,14a#100#1689481620695_4#IMDB,10451,True,7,0,106,5,8512,4,7,6784,3328,0,5600,0.79,3456,0.7,1,44,70,10752,15400,0,68,3
application_1688294179913_23981,7c#100#1689481620855_4#IMDB,41613,True,7,1,129,8,5888,6,5,10304,3648,0,1400,0.82,2368,0.43,1,132,54,14336,14600,0,151,2
application_1688294179913_23982,6a#100#1689481620505_1#IMDB,8577,True,7,0,75,7,9536,4,6,6016,1856,0,2600,0.46,3136,0.44,0,60,40,11008,8200,0,97,3
application_1688294179913_23983,23a#100#1689481620699_4#IMDB,10441,True,15,0,161,6,5248,7,5,8896,3712,0,3600,0.8,1728,0.41,1,144,76,15104,18000,0,159,8
application_1688294179913_23984,19b#100#1689481621000_0#IMDB,9301,True,14,1,90,4,9280,6,4,10560,768,1,3200,0.37,2880,0.35,0,136,34,14592,7400,1,79,8
application_1688294179913_23985,6f#100#1689481620248_3#IMDB,11658,True,14,1,79,6,8768,7,3,11520,1792,1,5200,0.55,3840,0.69,1,120,68,13056,14600,0,60,5
application_1688294179913_23986,17f#100#1689481620742_6#IMDB,19515,True,15,1,99,6,5504,6,4,9472,1664,0,3400,0.36,3968,0.82,0,80,32,16384,14000,1,70,3
application_1688294179913_23987,28a#100#1689481620457_4#IMDB,12485,True,8,0,89,8,5696,6,3,11520,3392,0,1600,0.46,2048,0.39,1,136,68,12800,14800,1,60,9
application_1688294179913_23988,1b#100#1689481620724_2#IMDB,8445,True,14,0,87,5,11200,5,5,4096,2496,0,2600,0.39,3072,0.45,1,68,38,10752,18200,0,76,7
application_1688294179913_23989,22d#100#1689481620484_3#IMDB,10064,True,11,1,122,4,8448,5,8,5376,704,0,4400,0.84,1344,0.57,0,128,44,9984,13600,1,116,10
application_1688294179913_23990,21c#100#1689481620537_3#IMDB,11326,True,7,0,122,8,9152,6,5,12224,2432,0,4000,0.39,256,0.83,1,120,84,13312,8600,1,152,10
application_1688294179913_23991,22c#100#1689481620991_4#IMDB,10721,True,12,1,59,4,10048,4,6,5696,1280,0,3200,0.53,3840,0.43,1,40,32,15360,19400,1,97,4
application_1688294179913_23992,10c#100#1689481620224_4#IMDB,8087,True,14,0,100,5,8576,7,5,10432,2880,0,2200,0.75,3648,0.44,0,100,20,10240,12200,1,113,5
application_1688294179913_23993,21c#100#1689481620295_0#IMDB,9099,True,10,1,98,3,9856,5,6,5760,1600,0,3200,0.49,704,0.74,0,48,58,11008,17000,1,104,6
